Date,Dead,Injured
1/1/2018,3,21
1/8/2018,6,12
1/15/2018,1,16
1/22/2018,13,36
1/29/2018,1,9
2/5/2018,14,10
2/12/2018,22,42
2/19/2018,1,3
2/26/2018,7,15
3/5/2018,11,17
3/12/2018,0,19
3/19/2018,1,9
3/26/2018,2,21
4/2/2018,8,21
4/9/2018,0,10
4/16/2018,12,17
4/23/2018,7,26
4/30/2018,4,48
5/7/2018,6,40
5/14/2018,16,30
5/21/2018,1,11
5/28/2018,5,21
6/4/2018,16,42
6/11/2018,10,62
6/18/2018,11,64
6/25/2018,7,42
7/2/2018,12,51
7/9/2018,7,33
7/16/2018,7,33
7/23/2018,14,50
7/30/2018,5,55
8/6/2018,8,32
8/13/2018,1,34
8/20/2018,7,45
8/27/2018,2,18
9/3/2018,4,2
9/10/2018,6,0
9/17/2018,10,11
9/24/2018,3,2
10/1/2018,7,32
10/8/2018,9,26
10/15/2018,6,13
10/22/2018,14,27
10/29/2018,8,39
11/5/2018,19,27
11/12/2018,17,12
11/19/2018,19,25
11/26/2018,0,9
12/3/2018,1,12
12/10/2018,2,15
12/17/2018,0,16
12/24/2018,7,6
12/31/2018,14,29
1/7/2019,1,5
1/14/2019,15,31
1/21/2019,19,19
1/28/2019,4,13
2/4/2019,4,21
2/11/2019,20,20
2/18/2019,11,14
2/25/2019,6,18
3/4/2019,1,8
3/11/2019,6,27
3/18/2019,3,16
3/25/2019,2,24
4/1/2019,6,43
4/8/2019,7,27
4/15/2019,1,30
4/22/2019,7,32
4/29/2019,6,41
5/6/2019,1,31
5/13/2019,11,54
5/20/2019,8,52
5/27/2019,17,47
6/3/2019,8,26
6/10/2019,9,32
6/17/2019,14,69
6/24/2019,3,64
7/1/2019,13,73
7/8/2019,3,21
7/15/2019,5,44
7/22/2019,21,56
7/29/2019,48,88
8/5/2019,12,38
8/12/2019,11,47
8/19/2019,12,35
8/26/2019,15,67
9/2/2019,15,23
9/9/2019,8,23
9/16/2019,12,41
9/23/2019,11,21
9/30/2019,10,24
10/7/2019,20,38
10/14/2019,13,17
10/21/2019,6,31
10/28/2019,11,40
11/4/2019,4,26
11/11/2019,12,18
11/18/2019,5,38
11/25/2019,8,36
12/2/2019,16,19
12/9/2019,12,14
12/16/2019,11,37
12/23/2019,9,52
12/30/2019,8,24
1/6/2020,2,7
1/13/2020,13,34
1/20/2020,14,27
1/27/2020,6,23
2/3/2020,13,18
2/10/2020,4,32
2/17/2020,11,21
2/24/2020,8,19
3/2/2020,5,54
3/9/2020,17,18
3/16/2020,1,23
3/23/2020,1,11
3/30/2020,8,31
4/6/2020,2,24
4/13/2020,5,12
4/20/2020,6,27
4/27/2020,5,21
5/4/2020,4,32
5/11/2020,7,38
5/18/2020,13,68
5/25/2020,13,93
6/1/2020,13,59
6/8/2020,25,123
6/15/2020,9,91
6/22/2020,13,95
6/29/2020,27,156
7/6/2020,12,52
7/13/2020,10,90
7/20/2020,12,85
7/27/2020,17,55
8/3/2020,8,99
8/10/2020,15,63
8/17/2020,10,69
8/24/2020,13,78
8/31/2020,7,83
9/7/2020,19,56
9/14/2020,10,67
9/21/2020,6,44
9/28/2020,7,58
10/5/2020,6,34
10/12/2020,14,51
10/19/2020,12,51
10/26/2020,11,67
11/2/2020,10,27
11/9/2020,10,40
11/16/2020,11,56
11/23/2020,5,46
11/30/2020,6,22
12/7/2020,11,27
12/14/2020,6,16
12/21/2020,20,24
12/28/2020,8,50
1/4/2021,9,32
1/11/2021,1,29
1/18/2021,7,22
1/25/2021,5,19
2/1/2021,27,39
2/8/2021,3,39
2/15/2021,11,32
2/22/2021,11,49
3/1/2021,5,23
3/8/2021,17,55
3/15/2021,15,35
3/22/2021,27,66
3/29/2021,10,41
4/5/2021,25,50
4/12/2021,18,67
4/19/2021,7,38
4/26/2021,19,66
5/3/2021,15,36
5/10/2021,10,68
5/17/2021,16,98
5/24/2021,24,54
5/31/2021,13,74
6/7/2021,17,83
6/14/2021,27,105
6/21/2021,15,71
6/28/2021,20,100
7/5/2021,6,44
7/12/2021,25,100
7/19/2021,23,71
7/26/2021,11,63
8/2/2021,9,56
8/9/2021,13,48
8/16/2021,12,68
8/23/2021,4,46
8/30/2021,22,69
9/6/2021,12,63
9/13/2021,9,58
9/20/2021,20,70
9/27/2021,7,40
10/4/2021,16,86
10/11/2021,12,64
10/18/2021,17,44
10/25/2021,18,84
11/1/2021,7,36
11/8/2021,16,45
11/15/2021,5,43
11/22/2021,15,42
11/29/2021,16,19
12/6/2021,4,54
12/13/2021,5,30
12/20/2021,5,37
12/27/2021,25,61
1/3/2022,6,23
1/10/2022,6,26
1/17/2022,16,21
1/24/2022,13,22
1/31/2022,10,38
2/7/2022,5,29
2/14/2022,9,58
2/21/2022,11,53
2/28/2022,12,42
3/7/2022,13,32
3/14/2022,16,102
3/21/2022,9,33
3/28/2022,16,65
4/4/2022,13,49
4/11/2022,12,88
4/18/2022,20,34
4/25/2022,19,70
5/2/2022,9,39
5/9/2022,21,99
5/16/2022,21,38
5/23/2022,31,95
5/30/2022,36,96
6/6/2022,22,73
6/13/2022,12,47
6/20/2022,13,71
6/27/2022,15,75
7/4/2022,26,142
7/11/2022,19,90
7/18/2022,5,23
