State,Dead,Injured,Occurrences,Population,Rate,Legislation
Alabama,72,261,69,5024279,1.373331377,1
Alaska,6,12,4,733391,0.545411656,0
Arizona,43,127,28,7151502,0.391526144,0
Arkansas,34,137,33,3011524,1.095790703,0
California,253,756,191,39538223,0.483076844,4
Colorado,60,167,44,5773714,0.762074464,1
Connecticut,8,62,16,3605944,0.443711827,3
Delaware,13,45,13,989948,1.313200289,1
District of Columbia,23,182,38,689545,5.510880363,4
Florida,149,530,129,21538187,0.598936206,2
Georgia,82,345,87,10711908,0.812180239,1
Hawaii,4,4,2,1455271,0.137431447,3
Idaho,5,7,2,1839106,0.10874849,0
Illinois,184,1174,265,12812508,2.068291392,3
Indiana,70,200,52,6785528,0.766336827,1
Iowa,22,64,17,3190369,0.532853723,2
Kansas,9,51,12,2937880,0.4084578,0
Kentucky,33,126,30,4505836,0.665803194,1
Louisiana,91,487,115,4657757,2.468999564,1
Maine,3,1,1,1362359,0.073402092,0
Maryland,70,289,76,6177224,1.230326114,3
Massachusetts,13,75,19,7029917,0.270273461,2
Michigan,94,298,85,10077331,0.843477306,2
Minnesota,19,132,27,5706494,0.473145157,2
Mississippi,60,183,48,2961279,1.62092123,0
Missouri,74,299,77,6154913,1.251033118,0
Montana,5,4,2,1084225,0.184463557,0
Nebraska,5,42,9,1961504,0.45883159,2
Nevada,17,92,21,3104614,0.676412591,1
New Hampshire,0,4,1,1377529,0.072593753,0
New Jersey,34,250,52,9288994,0.559802278,3
New Mexico,18,47,14,2117522,0.661150156,1
New York,67,509,116,20201249,0.574221921,4
North Carolina,102,286,82,10439388,0.785486659,2
North Dakota,0,0,0,779094,0,2
Ohio,91,388,89,11799448,0.754272573,1
Oklahoma,26,64,20,3959353,0.505133036,1
Oregon,13,69,17,4237256,0.401203043,1
Pennsylvania,91,488,118,13002700,0.907503826,1
Puerto Rico,15,1,3,3285874,0.09129991,4
Rhode Island,2,16,3,1097379,0.27337866,2
South Carolina,75,311,67,5118425,1.30899642,1
South Dakota,4,5,2,886667,0.225563825,1
Tennessee,73,289,71,6910840,1.027371492,1
Texas,292,765,187,29145505,0.641608372,1
Utah,6,12,4,3271616,0.122263738,1
Vermont,0,0,0,643077,0,0
Virginia,56,209,53,8631393,0.614037618,1
Washington,30,102,27,7705281,0.350409025,2
West Virginia,9,16,5,1793716,0.278750928,0
Wisconsin,46,140,36,5893718,0.610819859,1
Wyoming,2,2,1,576851,0.173354991,0
